"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"3308",-1,-0.539743133291661,-1,-0.51299131929942
"3309",-1,-0.351533743189806,-1,-0.427539853485468
"3310",-1,-0.646856576999995,-1,-0.688543245656978
"3312",-1,-0.594927846518502,-1,-0.580099889087204
"3313",-1,-0.527740226631945,-1,-0.478187480925879
"3315",-1,-0.533535468356471,-1,-0.507543202375007
"3316",-1,-0.261315446958324,-1,-0.272905152607561
"3320",-1,-1.1589329905324,-1,-1.1220715065189
"3321",1,0.274991334405099,1,0.275900831161339
"3326",-1,-0.722851192122668,-1,-0.658280804251454
"3329",-1,-0.933320759884247,-1,-0.887814903090114
"333",1,0.234688864750008,1,0.290493304686044
"3336",-1,-0.499119226946751,-1,-0.48559302907703
"3337",-1,-0.725817763087957,-1,-0.689712300136626
"3338",0,0,0,0
"3339",0,0,0,0
"334",1,0.274612989506949,1,0.27952772484157
"3340",0,0,0,0
"335",0,0,1,0.599970556547967
"3351",0,0,0,0
"3355",0,0,0,0
"3357",1,0.223049910701392,1,0.217832176649706
"3359",0,0,0,0
"3360",0,0,0,0
"3363",0,0,0,0
"337",0,0,0,0
"3371",-1,-0.494741936858788,-1,-0.512976812736919
"3373",0,0,0,0
"3376",-1,-0.318750569020821,-1,-0.350694472925875
"338",0,0,0,0
"3381",0,0,0,0
"3383",-1,-0.173941529134254,0,0
"3384",-1,-0.362317186395824,-1,-0.29769889496947
"3385",0,0,0,0
"339044",0,0,0,0
"339105",0,0,0,0
"339166",1,0.227073928388895,1,0.219100423430231
"339229",0,0,0,0
"339287",-1,-0.221138329868046,-1,-0.191929966405524
"3394",0,0,0,0
"339448",0,0,0,0
"339524",0,0,1,0.251700456258719
"3396",0,0,0,0
"3397",-1,-0.658032569328697,0,0
"3398",0,0,0,0
"3399",0,0,0,0
"34",0,0,1,0.319950216745637
"3400",0,0,0,0
"341",0,0,0,0
"3416",0,0,-1,-0.16666912774855
"3417",0,0,0,0
"3418",0,0,0,0
"3419",-1,-0.511005759914342,0,0
"3420",1,0.294812191041672,1,0.293190694729649
"3421",0,0,0,0
"3422",-1,-0.136277278953694,-1,-0.164297349337205
"3423",1,0.277799694807881,1,0.354557258565405
"3426",1,0.178000678634267,0,0
"3428",-1,-0.282975739613425,-1,-0.338735122292153
"3429",0,0,0,0
"3430",0,0,0,0
"343071",0,0,0,0
"3431",1,0.251021236326402,1,0.232906431739824
"3433",0,0,0,0
"3434",1,0.712341164847231,1,0.721948689061046
"3439",0,0,0,0
"344",0,0,0,0
"3447",0,0,0,0
"3448",0,0,0,0
"3451",0,0,0,0
"3455",0,0,0,0
"3459",-1,-0.467355630895828,-1,-0.439239914975293
"346",0,0,0,0
"347",-1,-0.490752604641187,0,0
"347088",0,0,0,0
"3475",-1,-0.69932717891666,-1,-0.677258637023255
"347733",-1,-0.276335600381933,-1,-0.296611144658431
"347735",0,0,0,0
"347746",0,0,0,0
"3479",1,0.423858607317137,0,0
"347902",0,0,0,0
"348",0,0,0,0
"3480",0,0,0,0
"3481",0,0,0,0
"348110",0,0,0,0
"3482",0,0,0,0
"348249",0,0,0,0
"3483",0,0,0,0
"3485",0,0,0,0
"3486",0,0,0,0
"3487",0,0,0,0
"3488",1,0.61459729556714,1,0.709422534518891
"3489",0,0,0,0
"348995",0,0,0,0
"3490",1,0.293155470782422,1,0.276286842944772
"3491",-1,-0.728418763752305,-1,-0.983337811390987
"349152",0,0,1,0.276382728111917
"3492",0,0,1,0.918564004223835
"3493",0,0,1,0.918564004223835
"3494",0,0,1,0.918564004223835
"3495",0,0,0,0
"350",0,0,0,0
"3500",0,0,0,0
"3501",0,0,0,0
"3502",0,0,0,0
"3503",0,0,0,0
"3507",0,0,0,0
"351",1,0.382738590953709,1,0.45399417260465
"3514",0,0,0,0
"3516",0,0,0,0
"353",-1,-0.219423434296294,-1,-0.255078817069771
"353513",0,0,0,0
"3537",0,0,1,0.916400170767444
"3546",0,0,0,0
"3547",1,0.141532494159732,1,0.138428092297967
"355",1,0.137821042891211,0,0
"3550",0,0,1,0.157311476103199
"3551",0,0,0,0
"3553",0,0,0,0
"3554",-1,-0.46424368288424,-1,-0.479779824293606
"3557",0,0,0,0
"3559",0,0,0,0
"356",0,0,0,0
"3561",1,0.157152706233806,0,0
"3563",0,0,0,0
"3566",0,0,-1,-0.189451363962207
"3569",0,0,-1,-0.33177724217151
"3572",-1,-0.496958985421289,-1,-0.516302775136627
"3575",0,0,0,0
"358",1,0.364624897474549,1,0.31057530120494
"3587",0,0,0,0
"3588",0,0,0,0
"3589",0,0,0,0
"3590",1,0.231988903305563,1,0.250663422034884
"3596",0,0,0,0
"3597",-1,-0.230587820324066,-1,-0.31864772936628
"360",-1,-0.867399403513883,-1,-0.990206460811049
"3600",0,0,0,0
"3601",-1,-0.284103966766193,-1,-0.337485717440408
"3603",0,0,0,0
"3608",-1,-0.315406851604158,-1,-0.273927782710756
"3609",-1,-0.411985443928232,-1,-0.323752790338663
"3611",0,0,0,0
"3612",0,0,0,0
"3613",0,0,0,0
"3614",0,0,0,0
"3615",0,0,0,0
"362",0,0,0,0
"3620",0,0,0,0
"3622",0,0,0,0
"3623",0,0,0,0
"3624",0,0,0,0
"3625",0,0,-1,-0.35754416924564
"3628",0,0,0,0
"363",0,0,0,0
"3630",0,0,0,0
"3631",0,0,0,0
"3638",0,0,0,0
"364",0,0,0,0
"3643",0,0,0,0
"3645",0,0,0,0
"3646",0,0,0,0
"3651",0,0,0,0
"3652",1,0.158865670775467,1,0.191717155812499
"3653",0,0,0,0
"3654",-1,-0.347978974025453,-1,-0.464598402609013
"3655",0,0,0,0
"3659",0,0,0,0
"366",0,0,0,0
"3660",1,0.207453513571767,1,0.268023438609012
"3662",0,0,0,0
"3664",0,0,0,0
"3665",0,0,0,0
"3667",0,0,0,0
"3669",-1,-0.219941138131942,-1,-0.264186012030523
"367",0,0,1,0.219884443106104
"3671",1,0.845821566331034,1,0.871038583033433
"3674",0,0,0,0
"3675",0,0,0,0
"3678",-1,-0.590980296918977,-1,-0.702656033513077
"3679",-1,-0.448038853766198,0,0
"368",0,0,0,0
"3682",0,0,0,0
"3683",0,0,0,0
"3684",0,0,0,0
"3685",0,0,0,0
"3687",1,0.215461632048619,1,0.166151232495638
"3688",-1,-0.77977224765277,-1,-0.764353396706393
"3689",0,0,0,0
"369",-1,-0.19245798273841,0,0
"3691",0,0,0,0
"3693",1,0.321219903013896,1,0.304036698351744
"37",0,0,0,0
"3707",0,0,1,0.221711683686044
"3708",1,0.318154386668987,1,0.35886742183285
"3710",0,0,0,0
"3712",0,0,1,0.228421478632264
"3713",0,0,0,0
"3716",-1,-0.276003347722213,-1,-0.337951957110464
"3717",0,0,0,0
"3718",0,0,0,0
"372",0,0,0,0
"3720",0,0,0,0
"3725",0,0,0,0
"3726",0,0,-1,-0.434024666204941
"3727",-1,-0.285840622530086,0,0
"3728",0,0,0,0
"373",0,0,-1,-0.143155134206396
"3730",1,0.783917033011581,1,0.705872639809592
"373156",1,0.21454716587964,1,0.199559765953484
"3732",0,0,0,0
"3735",0,0,0,0
"3741",1,0.313798457328709,1,0.301514922119185
"3742",0,0,0,0
"374291",0,0,0,0
"374354",0,0,0,0
"374650",0,0,0,0
"374655",0,0,0,0
"375",-1,-0.56118549041203,0,0
"375035",0,0,0,0
"375056",0,0,0,0
"375057",0,0,0,0
"375133",0,0,0,0
"3752",-1,-0.172184988789349,-1,-0.21608811360029
"375449",-1,-0.250150055884252,-1,-0.217156504642442
"3755",0,0,0,0
"3757",0,0,0,0
"375790",1,0.503231566152789,1,0.493931091305233
"3759",1,0.311631344465293,1,0.423757039286345
"3760",0,0,0,0
"3761",1,0.487822090814824,1,0.667288310366276
"3762",0,0,0,0
"376267",-1,-0.484505087590264,-1,-0.524048435068314
"3764",0,0,0,0
"3768",0,0,0,0
"377",0,0,0,0
"3775",-1,-0.284218467421287,-1,-0.398984122659888
"3777",0,0,0,0
"3778",1,0.215201601414361,1,0.190493590748543
"3779",0,0,0,0
"378",-1,-0.29525022876619,-1,-0.324319094079944
