"GENE.NAME","Gene.name","Level","Reliability","conservative","liberal"
"7054","TH","Not detected","Enhanced",-1,-1
"7064","THOP1","Medium","Uncertain",1,1
"7083","TK1","Not detected","Enhanced",-1,-1
"7084","TK2","Low","Uncertain",-1,0
"7086","TKT","Low","Enhanced",-1,0
"7108","TM7SF2","Low","Approved",-1,0
"7166","TPH1","Medium","Enhanced",1,1
"7167","TPI1","Medium","Uncertain",1,1
"7172","TPMT","Low","Approved",-1,0
"7173","TPO","Not detected","Enhanced",-1,-1
"7177","TPSAB1","Not detected","Supported",-1,-1
"7226","TRPM2","Not detected","Enhanced",-1,-1
"7263","TST","Low","Enhanced",-1,0
"7264","TSTA3","Low","Approved",-1,0
"728441","GGT2","Not detected","Supported",-1,-1
"728637","LOC728637",NA,NA,-1,-1
"729020","RPEL1","Not detected","Approved",-1,-1
"729359","PLIN4","Not detected","Enhanced",-1,-1
"7296","TXNRD1","Medium","Approved",1,1
"7298","TYMS","Low","Enhanced",-1,0
"7299","TYR","Not detected","Enhanced",-1,-1
"7306","TYRP1","Not detected","Enhanced",-1,-1
"7350","UCP1",NA,NA,-1,-1
"7351","UCP2","Medium","Approved",1,1
"7352","UCP3","Medium","Enhanced",1,1
"7355","SLC35A2","Low","Approved",-1,0
"7357","UGCG","Low","Approved",-1,0
"7358","UGDH","Not detected","Enhanced",-1,-1
"7360","UGP2","Medium","Enhanced",1,1
"7363","UGT2B4","Not detected","Enhanced",-1,-1
"7364","UGT2B7",NA,NA,-1,-1
"7367","UGT2B17","Not detected","Supported",-1,-1
"7368","UGT8","Medium","Approved",1,1
"7371","UCK2",NA,NA,-1,-1
"7372","UMPS",NA,NA,-1,-1
"7378","UPP1","Not detected","Enhanced",-1,-1
"7386","UQCRFS1","High","Enhanced",2,2
"7389","UROD","Not detected","Uncertain",-1,-1
"7390","UROS","Low","Approved",-1,0
"7407","VARS","Not detected","Approved",-1,-1
"7453","WARS",NA,NA,-1,-1
"747","DAGLA","Not detected","Approved",-1,-1
"7498","XDH","Not detected","Supported",-1,-1
"752014","CEMP1","Low","Approved",-1,0
"755","C21orf2","Medium","Supported",1,1
"759","CA1","Not detected","Enhanced",-1,-1
"760","CA2","Not detected","Enhanced",-1,-1
"761","CA3","Not detected","Enhanced",-1,-1
"762","CA4","Not detected","Enhanced",-1,-1
"763","CA5A",NA,NA,-1,-1
"765","CA6","Not detected","Enhanced",-1,-1
"766","CA7",NA,NA,-1,-1
"767","CA8","Not detected","Supported",-1,-1
"768","CA9","Not detected","Enhanced",-1,-1
"771","CA12","Not detected","Enhanced",-1,-1
"7779","SLC30A1","Low","Uncertain",-1,0
"7837","PXDN","Low","Approved",-1,0
"7841","MOGS","Not detected","Approved",-1,-1
"7862","BRPF1","Low","Enhanced",-1,0
"788","SLC25A20","Medium","Approved",1,1
"790","CAD","Not detected","Supported",-1,-1
"79001","VKORC1","Not detected","Approved",-1,-1
"79017","GGCT","Medium","Approved",1,1
"79053","ALG8","Medium","Approved",1,1
"79071","ELOVL6","Low","Uncertain",-1,0
"79077","DCTPP1","Not detected","Uncertain",-1,-1
"79087","ALG12","Medium","Approved",1,1
"7915","ALDH5A1","Medium","Enhanced",1,1
"79158","GNPTAB","Medium","Approved",1,1
"79159","NOL12","Medium","Uncertain",1,1
"79178","THTPA","Medium","Approved",1,1
"7922","SLC39A7","Medium","Approved",1,1
"7923","HSD17B8","Medium","Enhanced",1,1
"79369","B3GNT4","Low","Uncertain",-1,0
"7941","PLA2G7",NA,NA,-1,-1
"79411","GLB1L","Not detected","Enhanced",-1,-1
"79567","FAM65A","Not detected","Uncertain",-1,-1
"79586","CHPF","Medium","Approved",1,1
"79587","CARS2","Low","Uncertain",-1,0
"79595","SAP130",NA,NA,-1,-1
"79603","CERS4","Low","Uncertain",-1,0
"79611","ACSS3","Not detected","Approved",-1,-1
"79644","SRD5A3","Medium","Uncertain",1,1
"79646","PANK3",NA,NA,-1,-1
"79660","PPP1R3B","Medium","Approved",1,1
"79668","PARP8","Low","Approved",-1,0
"79670","ZCCHC6","Medium","Approved",1,1
"79672","FN3KRP","Medium","Approved",1,1
"79691","QTRTD1",NA,NA,-1,-1
"79707","NOL9",NA,NA,-1,-1
"79709","COLGALT1","Not detected","Approved",-1,-1
"79717","PPCS","Medium","Approved",1,1
"79731","NARS2","Medium","Supported",1,1
"79751","SLC25A22","Not detected","Approved",-1,-1
"79796","ALG9","High","Approved",2,2
"79814","AGMAT","Not detected","Enhanced",-1,-1
