"GENE.NAME","Ischemic","Ischemic_logFC","Idiopathic","Idiopathic_logFC"
"10328",-1,-0.227008422152947,-1,-0.221332721816356
"10329",-1,-0.168644988885536,-1,-0.157698816411588
"1033",-1,-0.180240721425932,-1,-0.182412500964309
"10333",0,0,0,0
"10335",0,0,0,0
"10345",-1,-0.390280971833907,-1,-0.498564490323889
"10346",1,0.585614926716937,1,0.40907355581438
"10349",1,0.529568781999288,1,0.506825912647952
"10350",1,0.170157908387678,1,0.231698231760214
"10351",1,0.439353206075529,1,0.455598579312765
"1036",1,0.313441227595662,0,0
"10363",1,0.215774589945345,1,0.219554039894903
"10365",0,0,0,0
"10370",0,0,-1,-0.129799514632182
"10371",0,0,0,0
"10376",-1,-0.109619182386234,-1,-0.0799427625197282
"1038",0,0,1,0.123890072977043
"10382",-1,-0.240001985886463,-1,-0.363198201921626
"10383",-1,-0.368206454076102,-1,-0.405379067652978
"10384",1,0.367747177547513,1,0.367833686036221
"10390",1,0.0768451253951898,0,0
"10391",-1,-0.161598189631889,-1,-0.132195713913915
"10395",1,0.0896247455062547,1,0.213260105570832
"10396",1,0.436897394764843,1,0.441277046861906
"10397",1,0.123220283218487,0,0
"1040",0,0,0,0
"10400",-1,-0.186775469688089,-1,-0.266588283466644
"10401",0,0,0,0
"10402",0,0,1,0.174957714257888
"10404",1,0.492171117966714,1,0.42386423450395
"10408",0,0,0,0
"10409",0,0,0,0
"10410",-1,-0.493979579472537,-1,-0.468370058746595
"10411",-1,-0.14534385226154,-1,-0.171580184101328
"10412",0,0,0,0
"10417",0,0,0,0
"10418",-1,-0.201977145353721,0,0
"10422",0,0,1,0.0876819269587461
"10425",1,0.112041842845263,1,0.208763896334114
"1043",0,0,1,0.191726944788914
"10432",1,0.0834151406029298,0,0
"10434",-1,-0.128383295264333,-1,-0.172240772911948
"10435",-1,-0.244399446235849,-1,-0.258253610636488
"10437",-1,-0.708426270121135,-1,-0.711708203268111
"10438",1,0.106775539405016,1,0.0987988204921093
"10439",0,0,0,0
"10440",-1,-0.161118147517892,-1,-0.131723709446377
"10445",-1,-0.241170980872548,-1,-0.247874493039285
"10449",0,0,0,0
"10451",0,0,0,0
"10455",0,0,0,0
"10456",0,0,0,0
"10457",1,0.378587227660425,1,0.159066692042845
"10458",-1,-0.112464695310845,-1,-0.248834424718794
"10461",-1,-0.272724767816262,-1,-0.426322177059902
"10462",-1,-0.138487031222684,0,0
"10468",1,0.123780506771199,0,0
"1047",0,0,0,0
"10471",-1,-0.24511864050513,-1,-0.238970650634511
"10472",-1,-0.200235655607595,-1,-0.140172502153158
"10475",0,0,0,0
"10480",-1,-0.138203647315501,-1,-0.14757408686658
"10483",-1,-0.183824348623158,-1,-0.147120934531741
"10486",1,0.233199941265765,1,0.224640384628042
"10487",-1,-0.223639430080127,-1,-0.253946667997313
"10488",-1,-0.244728755588014,-1,-0.223501237979021
"10493",0,0,-1,-0.105383323526906
"10495",0,0,0,0
"10498",-1,-0.279626280962474,-1,-0.282958353221129
"10499",1,0.236748603345807,1,0.290131241418218
"1050",0,0,0,0
"10500",0,0,0,0
"10501",-1,-0.501576817825392,-1,-0.482491113282639
"10507",0,0,0,0
"10509",-1,-0.680554238013322,-1,-0.671710766164276
"1051",-1,-0.492420858625866,-1,-0.668728639049864
"10512",0,0,0,0
"10516",0,0,1,0.153793465640421
"10518",0,0,0,0
"1052",-1,-0.419998840342735,-1,-0.692488702388813
"10520",1,0.129563259101229,1,0.151980335850785
"10525",-1,-0.301977697108135,-1,-0.223661720481174
"105369183",0,0,0,0
"105369209",1,0.0838717773014661,1,0.109319449557568
"105370686",0,0,0,0
"105370720",-1,-0.0983665115449028,-1,-0.0845100009081854
"105370792",1,0.144680695307429,1,0.196592084104733
"105371030",1,0.38284679711508,1,0.339751303733321
"105371045",0,0,0,0
"105371114",0,0,0,0
"105372274",0,0,0,0
"105374089",-1,-0.137190061283828,-1,-0.149854621269191
